username,text,replies,retweets,quotes,likes,url,timestamp,Merged Hashtags.1,Merged Tweet Mentions
@MinOfCultureGoI,"Explore the divine beauty of Darasuram in Tamil Nadu!

With the pristine Arsalar river flowing through the village, Darasuram is home to one of the UNESCO world heritage sites in India - the Airavateswara Temple

#VillageHeritage #AmritMahotsav #G20India #CultureUnitesAll 

(1/2)",1,15,0,34,https://twitter.com/MinOfCultureGoI/status/1704476297932738604,9/20/2023,#VillageHeritage #AmritMahotsav #G20India #CultureUnitesAll              ,                                     
@ddyadagirinews,"????4??th #IWG meeting in #Khajuraho under #G20India Presidency

@IFC_org @SwissRe @gi_hub @g20org @RBI
#OneEarthOneFamilyOneFuture #VasudhaivaKutumbakam #cities #UrbanInfrastructure #finance #investment #SDG",0,0,0,0,https://twitter.com/ddyadagirinews/status/1705092101476937861,9/22/2023,#IWG #Khajuraho #G20India #OneEarthOneFamilyOneFuture #VasudhaivaKutumbakam #cities #UrbanInfrastructure #finance #investment #SDG        ,IFC_org SwissRe gi_hub g20org RBI                                 
@vikrambidhuri,"?? ??? ???? ?? ????
Only PM ???? @narendramodi ?? could have made this possible. 

#G20SummitDelhi #G20India
#G20India2023
#G20India",1,6,0,9,https://twitter.com/vikrambidhuri/status/1700392982564999232,9/9/2023,#G20SummitDelhi #G20India #G20India2023 #G20India              ,narendramodi                                     
@MinOfCultureGoI,"Unite in our pledge for a corruption-free India.

Join the Vigilance Awareness Campaign to foster transparency and uphold public integrity to build a prosperous nation free from corruption.

#VigilanceAwareness #CultureUnitesAll #G20India #AmritMahotsav",2,18,3,49,https://twitter.com/MinOfCultureGoI/status/1702289307875352793,9/14/2023,#VigilanceAwareness #CultureUnitesAll #G20India #AmritMahotsav              ,                                     
@TCS,"The G20 Summit in New Delhi concluded on September 10th with a successful consensus reached on the Summit Declaration. The results of our collective efforts are now available for everyone to discover!

For latest updates on India's successful Presidency, visit the #G20India official website and mobile app, designed, developed and maintained by TCS.

Website: g20.org.
Android: bit.ly/3EJ11Gw
iOS: bit.ly/3EKxfRH
@g20org @tpbhatla #G20India2023",5,16,0,73,https://twitter.com/TCS/status/1704391304669753592,9/20/2023,#G20India #G20India2023                ,g20org tpbhatla                                    
@BushraGhazal5,"Plantation drive was organised by #IndianArmy in collaboration with locals, at Suigarh, #Bhaderwah J&K. #PlantationDrive #plantmoretrees #G20India #ProgressingJK #BharatNirman #NashaMuktjk #Amarnathyatra #KashmirkaDushmamPak #BadaltaJk
@vishesh_jk
@Whiteknight_IA
@NorthernComd_IA",0,2,0,2,https://twitter.com/BushraGhazal5/status/1704346920905568507,9/20/2023,#IndianArmy #Bhaderwah #PlantationDrive #plantmoretrees #G20India #ProgressingJK #BharatNirman #NashaMuktjk #Amarnathyatra #KashmirkaDushmamPak #BadaltaJk       ,vishesh_jk Whiteknight_IA NorthernComd_IA                                   
@Geeta_Mohan,"#Exclusive: NATO's Door Open to Ukraine, But War Stands in Way: US Ambassador to #NATO Julianne Smith (@USAmbNATO)

Smith also touched upon the #G20India declaration, appreciating India's leadership and rejecting the notion that the declaration was ""diluted"". 

Interview coming up... on @IndiaToday",1,4,0,9,https://twitter.com/Geeta_Mohan/status/1705034517462093982,9/22/2023,#Exclusive #NATO #G20India               ,USAmbNATO IndiaToday                                    
@Geeta_Mohan,"PM Modi to interact with Team G20 on 22nd Sept

Around 3000 people, who have worked towards ensuring success of the G20 Summit, to participate in the interaction

#G20India",0,3,0,10,https://twitter.com/Geeta_Mohan/status/1705035787371458822,9/22/2023,#G20India                 ,                                     
@MinOfCultureGoI,"Saluting the courage of Shaheed Major N. Saravanan, recipient of the Vir Chakra, and all our unsung heroes who selflessly devoted themselves to our nation's pride.

Join us in 'Meri Maati Mera Desh' as we honour their unyielding spirit.

#MeriMaatiMeraDesh #G20India

(1/2)",2,11,0,19,https://twitter.com/MinOfCultureGoI/status/1704529097253167448,9/20/2023,#MeriMaatiMeraDesh #G20India                ,                                     
@divyach74629034,"G 20 What we know | Everything you need to know about the G20 | Why G20 is Very Important for India?
#g20india #g20summit #g20
vid.puffyan.us/watch?v=jj-Hm5uo…",0,0,0,0,https://twitter.com/divyach74629034/status/1705085760242663718,9/22/2023,#g20india #g20summit #g20               ,                                     
@Rajkumarchahar9,"PM Shri @narendramodi at India-Middle East-Europe Economics Corridor & P'ship for Global Infrastructure & Investment Event.  #G20India
https://https://twitter.com/i/broadcasts/1nAKErEWQjgGL?t=1m24s",0,59,0,59,https://twitter.com/Rajkumarchahar9/status/1700483442256003175,9/9/2023,#G20India                 ,narendramodi                                     
@Rajkumarchahar9,"PM Shri @narendramodi's closing remarks at the G20 Summit, New Delhi. #G20India
https://https://twitter.com/i/broadcasts/1LyxBqXQwaoJN?t=31s",0,61,0,62,https://twitter.com/Rajkumarchahar9/status/1700770635532865802,9/10/2023,#G20India                 ,narendramodi                                     
@SSOIndia,"#Tip_of_the_day??
#staysafeonline #cybersecurity #g20india #g20dewg #g20org #g20summit #besafe #staysafe #ssoindia #meity #mygovindia #india #Quad #Quad2023 #QuadCyberCampaign #QuadCyberChallenge

For more content visit our website
 staysafeonline.in/",0,0,0,1,https://twitter.com/SSOIndia/status/1705084549695258694,9/22/2023,#Tip_of_the_day #staysafeonline #cybersecurity #g20india #g20dewg #g20org #g20summit #besafe #staysafe #ssoindia #meity #mygovindia #india #Quad #Quad2023 #QuadCyberCampaign #QuadCyberChallenge ,                                     
@FinMinIndia,"Day 2?? sessions focused on the way forward on #FWG outcomes 2023 under #G20India Presidency in #Raipur.

#G20 reports on 'Macroeconomic Impacts of Food and Energy Insecurity' and 'Macroeconomic Risks Stemming from Climate Change and Transition Pathways', were delivered which was reflected in the 2023 New Delhi Leaders’ Declaration.

The delegates reiterated their commitment to international cooperation to achieve strong, sustainable, balanced and inclusive growth #SSBIG.

@g20org @RBI #ClimateChange #Sustainability #FoodandEnergy #Macroeconomics #OneEarthOneFamilyOneFuture #VasudhaivaKutumbakam",2,19,1,105,https://twitter.com/FinMinIndia/status/1704069861239124253,9/19/2023,#FWG #G20India #Raipur #G20 #SSBIG #ClimateChange #Sustainability #FoodandEnergy #Macroeconomics #OneEarthOneFamilyOneFuture #VasudhaivaKutumbakam       ,g20org RBI                                    
@FinMinIndia,"Seoul is hosting 4??th International Financial Architecture #IFA meeting under #G20India Presidency on 21–22 September 2023. The meeting will be co-chaired by #France and #SouthKorea.

@g20org @RBI #SouthKorea #OneEarthOneFamilyOneFuture #VasudhaivaKutumbakam",8,14,1,81,https://twitter.com/FinMinIndia/status/1704426955196764595,9/20/2023,#IFA #G20India #France #SouthKorea #SouthKorea #OneEarthOneFamilyOneFuture #VasudhaivaKutumbakam           ,g20org RBI                                    
@FinMinIndia,"The 4th Framework Working Group #FWG concluded successfully in #Raipur yesterday. Through extensive deliberations, the delegates aimed to further promote Strong, Sustainable, Balanced, and Inclusive Growth #SSBIG under #G20India Presidency. 

@g20org @RBI #OneEarthOneFamilyOneFuture #VasudhaivaKutumbakam",6,12,0,46,https://twitter.com/FinMinIndia/status/1704429079255306604,9/20/2023,#FWG #Raipur #SSBIG #G20India #OneEarthOneFamilyOneFuture #VasudhaivaKutumbakam            ,g20org RBI                                    
@InfoSecAwa,"??QUIZ ALERT??
Attention all knowledge enthusiasts! ???? An opportunity to win exciting prizes. ??
To participate click on the link- staysafeonline.in/quiz
#staysafeonline #cybersecurity #g20india #g20dewg #g20org #g20summit #besafe #staysafe #ssoindia #meity #mygovindia #india https://https://twitter.com/InfoSecAwa/status/1704797670941020473/photo/1",0,3,0,2,https://twitter.com/InfoSecAwa/status/1704797670941020473,9/21/2023,#staysafeonline #cybersecurity #g20india #g20dewg #g20org #g20summit #besafe #staysafe #ssoindia #meity #mygovindia #india      ,                                     
